"","相对密度","相对频度","相对优势度","重要值"
"木荷",13.0177514792899,11.8811881188119,66.2503560903856,30.3830985628291
"山矾",18.9349112426036,11.8811881188119,0.877936278293253,10.5646785465696
"栲树",8.28402366863905,10.8910891089109,6.28722875158282,8.48744717637759
"窄基红褐柃",12.4260355029586,9.9009900990099,0.478577060965811,7.60186755431143
"苦槠",3.55029585798817,4.95049504950495,10.5481365575437,6.34964248834561
"石栎",1.77514792899408,2.97029702970297,10.6913796037171,5.14560818747137
"连蕊茶",7.69230769230769,5.94059405940594,0.355639429218781,4.6628470603108
"米槠",5.91715976331361,5.94059405940594,0.453914821400785,4.10388954804011
"老鼠矢",4.73372781065089,5.94059405940594,0.482549913745545,3.71895726126746
"格药柃",5.91715976331361,4.95049504950495,0.233524158757061,3.70039299052521
"马银花",4.73372781065089,4.95049504950495,0.195390322746044,3.29320439430063
"披针叶山矾",2.36686390532544,3.96039603960396,0.926318418553024,2.41785945449414
"薯豆",1.77514792899408,2.97029702970297,0.190079370615061,1.64517477643737
"杨梅",1.18343195266272,1.98019801980198,1.13985647542535,1.43449548263002
"褐叶青冈",1.77514792899408,1.98019801980198,0.0857968427906754,1.28038093052891
"花榈木",1.18343195266272,1.98019801980198,0.426837691995164,1.19682255481996
"短柄冬青",1.18343195266272,0.99009900990099,0.0141399897050775,0.729223650756263
"虎皮楠",0.591715976331361,0.99009900990099,0.140583974291217,0.574132986841189
"云山青冈",0.591715976331361,0.99009900990099,0.119262720572535,0.567025902268295
"檵木",0.591715976331361,0.99009900990099,0.0380986001201257,0.539971195450826
"米饭",0.591715976331361,0.99009900990099,0.028905267045189,0.536906751092513
"红楠",0.591715976331361,0.99009900990099,0.0230473013072365,0.534954095846529
"黑山山矾",0.591715976331361,0.99009900990099,0.0124403592228982,0.531418448485083
